City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vaini,100,TO,1519747358,100,-21.2,-175.2,81.91,10.78
Rikitea,24,PF,1519747360,100,-23.12,-134.97,79.66,17.72
Punta Arenas,90,CL,1519747200,57,-53.16,-70.91,50.0,9.17
Ushuaia,90,AR,1519747200,53,-54.81,-68.31,51.8,10.29
Hermanus,0,ZA,1519747367,46,-34.42,19.24,75.83,5.41
Bredasdorp,0,ZA,1519743600,57,-34.53,20.04,75.2,12.75
Kruisfontein,0,ZA,1519747371,81,-34.0,24.73,72.68,11.23
Port Elizabeth,0,ZA,1519743600,56,-33.92,25.57,71.6,19.46
Port Alfred,0,ZA,1519747374,64,-33.59,26.89,73.58,9.44
East London,0,ZA,1519743600,53,-33.02,27.91,77.0,8.05
Busselton,0,AU,1519747379,100,-33.64,115.35,63.14,16.6
Albany,64,AU,1519747188,81,-35.02,117.88,59.68,5.64
New Norfolk,0,AU,1519745400,63,-42.78,147.06,64.4,11.41
Hobart,0,AU,1519745400,63,-42.88,147.33,64.4,11.41
Bluff,8,NZ,1519747387,100,-46.6,168.33,58.19,6.42
Cape Town,0,ZA,1519743600,60,-33.93,18.42,71.6,20.8
Mar del Plata,0,AR,1519747390,60,-46.43,-67.52,67.51,7.54
Chuy,48,UY,1519747392,74,-33.69,-53.46,76.91,9.33
Saint-Philippe,0,RE,1519745400,88,-21.36,55.77,80.6,5.82
Cidreira,76,BR,1519747395,100,-30.17,-50.22,77.45,3.85
Castro,0,CL,1519747396,81,-42.48,-73.76,62.96,4.18
Arraial do Cabo,75,BR,1519747200,62,-22.97,-42.02,87.8,8.05
Mahebourg,40,MU,1519743600,74,-20.41,57.7,82.4,4.7
Mount Gambier,8,AU,1519747401,43,-37.83,140.78,71.24,6.42
Tuatapere,0,NZ,1519747403,100,-46.13,167.69,51.53,3.51
Coihaique,40,CL,1519747200,45,-45.58,-72.07,68.0,6.93
Rio Gallegos,0,AR,1519747200,86,-51.62,-69.22,57.2,5.82
Rawson,0,AR,1519747286,44,-43.3,-65.11,76.78,8.88
Rocha,80,UY,1519747410,59,-34.48,-54.34,75.38,5.41
Kaitangata,80,NZ,1519747412,88,-46.28,169.85,49.55,5.97
Avarua,40,CK,1519747200,94,-21.21,-159.78,75.2,2.24
Viedma,12,AR,1519747417,71,-40.81,-62.99,70.3,12.24
Jamestown,48,SH,1519747418,100,-15.94,-5.72,73.85,11.45
Souillac,40,MU,1519743600,74,-20.52,57.52,82.4,4.7
Port Lincoln,0,AU,1519747421,91,-34.72,135.86,65.3,21.07
Portland,12,AU,1519747423,94,-33.35,149.98,49.01,2.39
Te Anau,48,NZ,1519747424,94,-45.41,167.72,41.23,2.17
Ranfurly,88,NZ,1519747426,92,-45.13,170.1,44.11,3.06
Ancud,0,CL,1519747428,78,-41.87,-73.83,64.36,3.4
San Carlos de Bariloche,20,AR,1519747200,40,-41.13,-71.31,69.8,1.39
Tres Arroyos,0,AR,1519747432,44,-38.38,-60.28,81.91,8.66
Saldanha,0,ZA,1519743600,49,-33.01,17.94,73.4,18.34
Margate,0,ZA,1519747437,73,-30.86,30.37,80.06,18.05
Lakes Entrance,0,AU,1519747438,93,-37.88,147.99,64.0,4.97
Westport,92,NZ,1519747440,100,-41.75,171.6,54.5,3.06
Lebu,0,CL,1519747444,91,-37.62,-73.65,60.35,17.05
